COUNTRY,STATION,SOUID,YEAR,ANNUAL,WINTER_HALF_YEAR,SUMMER_HALF_YEAR,WINTER_DJF,SPRING_MAM,SUMMER_JJA,AUTUMN_SON,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
Austria,KREMSMUENSTER (TAWES),11,2024,41.39,26.93,61.71,19.98,52.9,65.88,27.99,22.26,19.89,36.85,55.58,66.34,60.17,65.78,71.51,50.25,24.49,9.36,13.09
Austria,KREMSMUENSTER (TAWES),11,2025,42.67,23.12,62.62,18.44,56.84,70.34,26.74,14.44,28.78,48.68,63.97,58.09,85.58,50.51,75.4,42.31,21.75,16.33,6.1
Austria,GRAZ-UNIVERSITAET,12,2010,42.63,29.58,56.43,19.59,46.79,66.48,34.94,10.73,29.02,46.88,51.47,42.18,66.53,77.18,55.73,45.28,34.25,25.31,26.29
Austria,GRAZ-UNIVERSITAET,12,2011,52.27,33.8,69.08,28.24,68.3,66.39,47.27,26.75,32.05,57.69,65.33,81.77,62.78,57.34,78.95,67.97,43.25,30.72,21.29
Austria,GRAZ-UNIVERSITAET,12,2012,53.4,40.1,67.52,33.75,64.21,73.65,40.15,41.08,39.25,64.65,61.08,66.8,73.39,67.98,79.57,55.89,44.89,19.5,25.7
Austria,GRAZ-UNIVERSITAET,12,2013,44.13,25.18,62.78,16.64,45.12,77.55,36.33,13.23,10.39,35.75,49.58,50.16,71.14,88.66,72.63,43.75,43.36,21.64,26.34
Austria,GRAZ-UNIVERSITAET,12,2014,43.21,32.19,55.5,22.19,57.17,60.02,33.86,17.69,22.56,60.27,47.64,63.31,70.14,57.72,52.53,41.44,41.77,18.08,23.49
Austria,GRAZ-UNIVERSITAET,12,2015,49.72,31.79,63.88,26.25,58.17,72.86,37.73,26.13,29.43,51.13,72.42,51.42,69.56,71.53,77.39,40.64,27.5,45.39,33.09
Austria,GRAZ-UNIVERSITAET,12,2016,50.21,34.2,66.22,30.15,54.98,69.59,44.3,32.82,24.14,41.96,64.17,59.11,65.33,71.75,71.56,65.28,35.03,32.92,37.66
Austria,GRAZ-UNIVERSITAET,12,2017,52.62,38.23,65.29,33.49,62.16,77.06,38.83,35.11,27.08,60.32,55.44,70.51,74.47,76.48,80.13,33.64,58.31,23.89,32.85
Austria,GRAZ-UNIVERSITAET,12,2018,46.66,31.39,65.98,26.77,50.05,68.72,44.63,26.99,19.79,25.13,67.53,58.06,60.81,70.7,74.41,64.22,53.23,16.17,20.99
Austria,GRAZ-UNIVERSITAET,12,2019,45.88,36.56,56.01,32.23,43.31,68.32,38.26,26.61,50.89,52.18,46.64,31.21,80.53,64.7,60.11,53.25,50.59,10.53,24.09
Austria,GRAZ-UNIVERSITAET,12,2020,49.26,36.73,64.1,37.22,59.37,64.28,40.9,39.52,48.79,46.83,78.28,53.63,58.08,72.93,61.61,60.22,34.33,28.36,9.35
Austria,GRAZ-UNIVERSITAET,12,2021,52.05,34.55,63.57,29.21,52.82,71.8,47.36,27.31,53.3,56.24,50.61,51.53,84.19,74.78,56.83,63.69,49.11,29.22,28.47
Austria,GRAZ-UNIVERSITAET,12,2022,36.02,21.32,52.16,13.71,25.05,67.14,40.4,5.48,6.49,7.96,8.75,57.9,68.33,76.56,56.56,43.69,49.95,27.25,20.56
Austria,GRAZ-UNIVERSITAET,12,2023,46.31,34.57,55.13,28.69,42.17,60.62,50.16,19.44,47.92,43.33,38.22,44.84,57.47,61.48,62.8,65.83,45.22,39.61,30.27
Austria,GRAZ-UNIVERSITAET,12,2024,48.21,38.55,60.25,36.49,51.68,65.68,38.27,41.96,37.3,36.88,61.94,56.53,56.08,69.44,71.21,45.75,27.98,41.42,31.77
Austria,GRAZ-UNIVERSITAET,12,2025,47.9,33.64,62.35,27.53,52.77,72.22,41.67,26.75,23.69,49.52,59.44,49.57,87.14,56.45,73.55,48.22,38.55,38.33,22.63
Austria,INNSBRUCK-UNIV,13,2010,44.99,34.47,54.39,27.77,52.62,57.28,40.42,25.73,39.7,53.39,69.14,35.86,55.72,68.36,47.72,49.94,44.81,26.36,23.36
Austria,INNSBRUCK-UNIV,13,2011,54.69,39.51,63.95,33.57,71.97,56.98,57.79,32.45,46.13,64.14,77.75,74.22,49.75,47.28,73.68,60.89,58.25,54.22,17.47
Austria,INNSBRUCK-UNIV,13,2012,46.56,41.34,57.6,23.08,58.67,60.87,42.23,20.65,31.67,65.56,50.11,60.05,62.25,50.16,70.24,52.56,38.47,35.78,20.7
Austria,INNSBRUCK-UNIV,13,2013,45.42,31.03,58.42,23.22,46.2,68.09,39.01,20.65,28.87,41.67,54.86,42.34,54.64,82.23,66.96,48.94,46.88,20.94,34.41
Austria,INNSBRUCK-UNIV,13,2014,44.41,38.42,53.11,31.88,56.27,54.73,41.14,21.67,40.39,65.86,50.58,52.18,67.36,53.12,44.11,51.61,41.94,29.86,14.6
Austria,INNSBRUCK-UNIV,13,2015,49.79,33.82,60.0,26.71,53.12,69.37,40.89,25.16,41.85,50.16,64.33,45.22,61.25,77.31,69.27,42.22,40.73,39.72,39.81
Austria,INNSBRUCK-UNIV,13,2016,44.67,36.87,56.28,30.67,49.46,58.52,39.4,23.84,28.19,48.47,50.58,49.35,52.64,60.13,62.61,62.22,33.36,22.83,41.05
Austria,INNSBRUCK-UNIV,13,2017,47.9,38.49,58.3,38.77,59.9,63.59,36.58,35.56,39.79,57.98,55.69,65.89,70.42,58.52,62.04,36.86,52.53,19.81,18.6
Austria,INNSBRUCK-UNIV,13,2018,50.32,30.38,66.12,24.53,58.03,63.77,52.64,26.85,28.51,35.48,74.5,64.65,61.97,64.57,64.7,66.47,53.49,37.92,23.92
Austria,INNSBRUCK-UNIV,13,2019,46.74,40.33,58.02,32.75,48.92,67.06,37.9,22.61,53.75,51.48,57.11,38.44,82.17,62.96,56.53,51.44,40.65,21.53,23.68
Austria,INNSBRUCK-UNIV,13,2020,47.09,34.5,59.03,30.91,59.5,56.78,42.68,35.56,33.65,51.45,77.08,50.54,49.5,63.52,57.1,56.67,32.28,39.44,18.49
Austria,INNSBRUCK-UNIV,13,2021,47.47,35.6,57.8,30.56,53.03,56.63,48.42,26.75,48.13,49.87,60.64,48.82,67.78,53.44,49.03,67.83,49.97,27.39,21.13
Austria,INNSBRUCK-UNIV,13,2022,34.97,19.67,51.26,10.75,23.76,68.27,38.13,5.54,5.03,7.77,9.25,53.79,67.89,66.05,70.86,38.5,46.72,28.89,16.67
Austria,INNSBRUCK-UNIV,13,2023,43.58,32.34,55.65,25.81,40.81,60.21,46.92,20.67,41.61,40.3,39.94,42.15,68.33,57.47,55.08,71.33,46.24,23.22,17.34
Austria,INNSBRUCK-UNIV,13,2024,43.26,31.3,51.75,24.95,46.02,56.68,41.81,27.98,29.83,42.82,50.58,44.81,46.89,59.54,63.28,45.0,36.29,44.33,27.34
Austria,INNSBRUCK-UNIV,13,2025,46.71,38.46,55.28,34.25,52.75,58.02,39.63,30.35,46.22,47.18,69.06,42.55,75.56,40.0,59.06,46.25,37.9,34.81,32.77
Austria,SALZBURG-FLUGHAFEN,14,2010,35.71,26.3,45.78,19.22,40.68,49.65,33.76,18.23,24.67,40.94,57.83,23.82,46.83,60.94,41.08,44.56,32.28,24.5,12.82
Austria,SALZBURG-FLUGHAFEN,14,2011,44.51,29.25,53.78,22.56,57.28,49.1,47.44,22.28,33.66,50.22,57.61,64.03,40.64,43.9,62.5,53.72,50.46,38.03,16.42
Austria,SALZBURG-FLUGHAFEN,14,2012,44.11,33.45,59.42,18.94,58.39,62.82,35.44,18.33,22.27,54.62,54.53,65.89,65.42,49.81,73.31,47.22,35.13,23.97,17.82
Austria,SALZBURG-FLUGHAFEN,14,2013,40.09,23.58,53.11,15.29,36.58,69.66,31.22,12.69,15.36,35.7,37.81,36.26,55.69,87.5,65.35,35.03,40.3,18.03,38.49
Austria,SALZBURG-FLUGHAFEN,14,2014,42.45,35.19,52.41,31.29,50.07,59.03,37.43,18.09,37.92,58.04,48.31,43.82,74.56,58.44,44.6,45.08,44.6,22.36,13.82
Austria,SALZBURG-FLUGHAFEN,14,2015,45.96,28.09,59.13,20.89,45.41,73.03,33.56,17.02,33.01,38.04,59.97,38.68,59.42,78.15,81.1,36.78,30.24,33.78,44.27
Austria,SALZBURG-FLUGHAFEN,14,2016,42.06,31.05,57.7,28.15,46.49,59.08,39.92,16.32,23.56,37.72,47.78,54.03,53.17,57.77,66.1,67.17,27.18,25.83,27.69
Austria,SALZBURG-FLUGHAFEN,14,2017,44.01,31.73,57.63,30.44,50.17,67.05,32.16,31.75,32.05,45.7,35.44,68.9,70.61,62.47,68.17,39.31,38.71,18.25,15.24
Austria,SALZBURG-FLUGHAFEN,14,2018,47.98,23.64,68.94,18.06,56.92,69.84,47.15,18.36,20.86,29.95,73.83,67.53,59.86,76.1,73.23,62.75,48.66,30.0,13.15
Austria,SALZBURG-FLUGHAFEN,14,2019,44.99,32.06,58.72,24.42,45.17,69.03,36.25,12.55,50.03,39.65,55.75,40.46,88.0,65.24,54.46,48.97,40.05,19.61,26.61
Austria,SALZBURG-FLUGHAFEN,14,2020,47.98,32.84,63.74,30.23,59.1,64.88,39.86,33.41,30.69,46.08,81.58,50.38,53.11,75.3,65.86,56.19,28.28,35.5,19.38
Austria,SALZBURG-FLUGHAFEN,14,2021,45.85,31.4,59.93,26.99,47.46,64.76,43.46,17.96,45.42,43.36,54.06,45.19,84.89,63.66,46.37,66.25,45.78,18.28,20.24
Austria,SALZBURG-FLUGHAFEN,14,2022,48.3,34.84,60.59,24.55,60.13,71.4,37.77,23.09,30.92,69.78,49.64,60.62,75.25,67.1,71.99,38.33,45.38,29.36,16.45
Austria,SALZBURG-FLUGHAFEN,14,2023,44.64,28.82,60.17,22.71,38.57,66.43,48.24,18.2,34.64,29.49,31.28,54.7,82.5,62.04,55.27,75.53,49.57,19.58,22.93
Austria,SALZBURG-FLUGHAFEN,14,2024,44.77,30.79,59.95,24.91,53.11,62.8,38.27,23.09,28.97,40.13,56.06,63.23,56.75,64.92,66.53,51.75,36.37,26.75,22.07
Austria,SALZBURG-FLUGHAFEN,14,2025,45.52,31.88,61.05,27.73,55.41,66.44,33.79,29.89,31.61,44.41,69.28,52.98,83.58,45.4,70.89,44.61,26.1,30.92,16.69
Austria,SONNBLICK (TAWES),15,2010,38.47,38.55,40.29,35.54,39.31,43.65,38.94,37.04,40.18,45.59,58.69,14.27,39.44,57.23,34.14,38.42,54.68,23.19,19.11
Austria,SONNBLICK (TAWES),15,2011,47.21,40.03,46.86,33.72,58.17,36.61,58.65,35.75,47.65,60.0,54.44,59.95,24.47,29.22,55.75,57.17,57.42,61.42,23.58
Austria,SONNBLICK (TAWES),15,2012,40.38,44.54,41.46,28.58,48.48,40.55,41.8,29.97,32.44,62.18,37.58,45.32,44.06,33.52,44.19,44.11,46.88,34.25,29.46
Austria,SONNBLICK (TAWES),15,2013,39.62,35.53,44.52,30.36,34.72,54.37,35.03,27.69,34.32,40.4,43.64,20.4,43.69,68.76,50.32,40.11,40.73,24.06,40.62
Austria,SONNBLICK (TAWES),15,2014,33.61,35.06,34.32,30.19,39.48,35.06,35.49,24.27,25.21,54.17,34.03,30.08,47.89,33.36,24.35,36.72,41.53,28.03,23.2
Austria,SONNBLICK (TAWES),15,2015,45.23,33.9,47.81,30.21,43.93,52.61,42.54,25.67,43.01,42.66,54.08,35.38,39.69,58.04,59.68,39.69,39.54,48.47,56.61
Austria,SONNBLICK (TAWES),15,2016,38.1,40.3,43.06,36.99,39.08,43.14,34.67,31.91,21.44,42.85,37.28,37.04,36.33,41.83,51.05,54.83,21.24,28.39,52.53
Austria,SONNBLICK (TAWES),15,2017,43.72,41.13,44.07,48.69,48.79,47.96,36.57,47.88,45.48,51.67,42.92,51.59,53.0,43.2,47.85,25.5,52.69,30.97,31.37
Austria,SONNBLICK (TAWES),15,2018,38.96,37.34,42.89,35.57,42.16,38.24,42.5,34.65,41.25,33.25,57.22,36.48,35.0,36.96,42.66,49.42,45.62,32.36,23.47
Austria,SONNBLICK (TAWES),15,2019,41.28,38.97,44.79,34.78,40.96,49.21,37.79,27.02,55.89,50.89,42.64,29.41,74.92,45.86,27.69,49.25,44.27,19.64,29.95
Austria,SONNBLICK (TAWES),15,2020,41.03,36.9,42.08,38.65,46.24,36.46,44.02,48.25,37.7,41.08,71.5,26.96,24.42,45.59,38.98,45.53,30.24,56.75,26.26
Austria,SONNBLICK (TAWES),15,2021,41.24,40.72,41.04,36.47,40.52,39.15,46.9,27.8,57.38,48.01,42.06,31.53,58.78,32.77,26.53,55.64,49.11,35.89,31.77
Austria,SONNBLICK (TAWES),15,2022,,23.0,,14.04,,,37.45,4.87,4.55,10.46,7.94,,,,,27.53,50.78,33.58,31.67
Austria,SONNBLICK (TAWES),15,2023,35.85,37.83,38.12,36.19,27.49,41.17,40.31,27.8,50.48,33.76,22.76,25.65,45.83,40.78,37.04,57.13,39.09,25.31,26.51
Austria,SONNBLICK (TAWES),15,2024,,30.9,,32.13,,,37.19,43.47,26.03,24.49,36.14,,,39.89,40.99,23.92,33.36,54.42,35.67
Austria,SONNBLICK (TAWES),15,2025,42.95,42.11,41.78,41.51,38.18,45.88,42.76,35.59,54.52,40.67,42.08,31.91,68.17,23.28,46.91,39.11,43.01,46.14,45.83
Austria,WIEN-HOHE WARTE,16,2010,42.93,23.55,60.12,15.5,48.5,71.88,34.75,12.39,19.49,46.48,61.28,38.15,68.42,82.18,64.95,45.58,38.41,20.14,16.21
Austria,WIEN-HOHE WARTE,16,2011,51.19,30.95,71.84,24.09,70.07,68.51,42.83,16.42,41.31,53.84,68.36,87.96,76.22,53.15,76.4,68.92,39.68,20.0,11.96
Austria,WIEN-HOHE WARTE,16,2012,50.05,32.1,68.55,24.11,65.94,72.26,35.87,24.49,36.7,59.7,62.89,75.13,70.69,65.99,80.05,56.03,34.27,17.36,16.69
Austria,WIEN-HOHE WARTE,16,2013,45.47,20.98,68.01,12.08,50.62,83.06,33.92,6.75,12.89,37.04,57.64,57.39,69.53,103.41,75.81,43.22,40.32,18.0,20.67
Austria,WIEN-HOHE WARTE,16,2014,44.86,30.11,62.59,20.86,58.93,71.29,27.86,16.64,25.74,58.49,56.25,61.96,84.31,71.96,58.01,42.89,25.54,15.22,20.11
Austria,WIEN-HOHE WARTE,16,2015,48.3,25.13,67.85,22.97,52.92,81.2,34.69,15.38,34.55,40.59,70.81,47.93,79.97,83.41,80.19,44.5,22.45,37.53,22.26
Austria,WIEN-HOHE WARTE,16,2016,47.13,27.01,69.68,22.46,51.24,75.5,39.38,21.75,23.45,34.76,55.94,63.17,76.53,77.12,72.88,72.28,22.42,24.0,20.99
Austria,WIEN-HOHE WARTE,16,2017,49.39,28.17,68.34,25.09,56.06,81.78,33.92,25.67,28.99,46.91,50.06,71.02,89.72,76.34,79.52,42.67,38.6,20.33,21.02
Austria,WIEN-HOHE WARTE,16,2018,49.88,23.42,75.1,17.44,61.84,75.48,46.25,13.79,17.5,28.6,79.03,78.44,61.83,81.64,82.53,66.53,53.33,18.64,14.44
Austria,WIEN-HOHE WARTE,16,2019,49.05,32.74,68.12,25.14,52.01,80.15,36.49,16.45,46.61,47.85,66.97,41.69,98.86,74.03,68.17,59.69,36.29,13.5,19.68
Austria,WIEN-HOHE WARTE,16,2020,46.26,28.95,67.27,22.9,66.62,65.14,34.0,18.44,31.12,54.3,86.61,59.6,53.64,76.88,64.52,62.39,23.68,16.28,7.77
Austria,WIEN-HOHE WARTE,16,2021,48.09,22.66,66.07,17.7,47.64,78.34,45.72,14.78,31.93,42.2,51.81,49.06,95.86,83.04,56.69,60.31,53.71,22.89,14.44
Austria,WIEN-HOHE WARTE,16,2022,,,,,,,34.32,,5.07,9.02,,,,,,47.11,36.59,19.19,11.05
Austria,WIEN-HOHE WARTE,16,2023,45.75,25.01,63.66,17.61,48.2,68.83,46.0,11.75,31.37,40.56,39.03,64.7,69.89,75.67,60.97,71.36,40.67,26.14,16.24
Austria,WIEN-HOHE WARTE,16,2024,48.4,31.48,65.48,26.45,55.16,71.85,37.73,34.84,28.39,42.2,61.56,61.94,69.47,72.96,73.04,53.53,33.98,25.81,22.34
Austria,WIEN-HOHE WARTE,16,2025,46.4,29.91,65.9,23.22,53.93,76.45,35.48,15.35,32.92,49.25,59.08,53.63,88.33,61.08,80.32,53.06,31.4,22.11,10.13
Belgium,UCCLE,17,2010,32.41,15.08,49.84,9.35,42.66,53.78,26.46,9.97,7.47,29.03,55.58,43.79,66.61,61.08,34.06,38.25,33.79,7.08,0.97
Belgium,UCCLE,17,2011,40.7,20.25,53.13,10.15,62.45,43.22,41.88,15.0,14.94,48.79,63.56,75.03,57.08,33.25,39.78,50.47,43.95,31.14,14.22
Belgium,UCCLE,17,2012,,28.84,,18.18,40.9,48.05,,13.06,27.87,42.82,25.97,53.41,46.0,43.66,54.44,,,,
Bulgaria,KNEJA,18,2010,49.37,26.84,71.18,14.57,56.77,79.92,40.08,12.88,23.07,47.31,55.47,67.47,70.06,81.34,88.04,63.92,25.47,30.86,23.95
Bulgaria,OBRASZOV-CHIFLIK,19,2010,51.43,28.89,72.61,17.83,60.06,76.79,45.54,20.54,22.62,42.69,64.31,73.33,72.08,71.88,86.26,67.36,29.84,39.94,24.7
Croatia,ZAGREB-GRIC,21,2010,40.24,21.98,59.67,11.94,44.73,72.02,30.35,7.1,18.78,32.45,53.97,48.06,70.64,75.35,70.03,39.5,28.49,23.11,14.14
Croatia,ZAGREB-GRIC,21,2011,48.39,25.56,70.72,18.95,59.2,72.96,41.29,14.52,29.2,44.19,55.72,77.58,67.5,65.99,85.22,71.75,36.96,15.31,15.43
Croatia,ZAGREB-GRIC,21,2012,53.36,32.6,73.49,27.25,62.05,87.33,34.85,33.09,33.65,60.7,54.33,70.86,84.56,83.41,93.92,52.94,35.75,15.83,19.81
Croatia,ZAGREB-GRIC,21,2013,42.26,20.33,63.06,13.56,46.11,75.0,32.9,12.88,7.38,28.95,57.81,51.94,66.19,88.39,70.13,43.17,41.8,13.44,22.04
Croatia,ZAGREB-GRIC,21,2014,39.16,25.28,53.63,16.86,47.21,64.71,26.55,11.61,16.93,44.65,36.06,60.56,72.47,63.01,58.9,30.06,33.41,15.94,24.09
Croatia,ZAGREB-GRIC,21,2015,47.28,26.11,66.13,21.01,53.19,78.32,35.62,16.53,22.56,43.44,60.56,55.81,79.44,82.66,72.9,44.97,21.37,41.0,24.89
Croatia,ZAGREB-GRIC,21,2016,44.73,27.08,63.95,23.31,46.52,70.87,38.1,27.63,16.98,30.38,49.53,59.76,66.83,71.45,74.19,61.5,28.49,24.61,24.38
Croatia,ZAGREB-GRIC,21,2017,51.95,30.88,69.3,25.2,61.04,85.13,34.52,22.2,29.43,55.83,52.69,74.33,82.28,87.02,85.99,32.17,50.3,20.58,27.8
Croatia,ZAGREB-GRIC,21,2018,45.37,26.98,67.19,21.95,52.37,69.45,40.49,21.99,15.45,24.44,65.42,67.69,60.56,71.18,76.32,61.5,43.36,16.5,17.88
Croatia,ZAGREB-GRIC,21,2019,46.96,31.74,62.25,26.42,44.79,78.73,37.23,18.55,44.58,50.35,48.47,35.67,87.08,78.82,70.56,52.97,45.54,12.92,18.2
Croatia,ZAGREB-GRIC,21,2020,,,,29.67,,,,34.81,36.44,,,,,,,,,,
Cyprus,LARNACA,23,2010,78.17,55.98,97.26,42.84,82.08,103.77,78.43,39.14,49.76,68.95,84.08,93.28,104.11,109.33,97.88,94.61,68.17,72.86,54.49
Cyprus,LARNACA,23,2011,77.26,61.81,93.49,52.79,77.07,104.76,72.26,48.98,55.12,70.94,72.03,88.06,106.03,108.2,100.11,86.0,72.2,58.58,59.14
Cyprus,LARNACA,23,2012,76.51,59.8,96.33,53.11,78.64,105.51,73.62,43.06,57.41,68.17,79.75,88.04,109.22,105.48,101.94,93.36,68.52,59.14,43.9
Cyprus,LARNACA,23,2013,77.99,57.34,95.9,50.07,77.92,106.09,76.4,47.98,59.23,65.51,80.86,87.47,107.64,110.22,100.46,88.42,82.8,57.78,46.45
Cyprus,NICOSIA,25,2010,73.85,53.62,92.09,41.8,78.61,97.41,73.36,38.12,47.53,62.85,81.19,91.88,94.92,103.52,93.71,86.92,66.1,67.31,50.7
Cyprus,NICOSIA,25,2011,75.05,60.04,88.89,52.3,71.63,102.02,71.64,47.55,59.32,69.44,66.08,79.19,99.33,105.3,101.34,81.44,73.84,59.56,56.94
Cyprus,NICOSIA,25,2012,76.1,61.07,93.67,53.71,78.75,102.23,71.96,44.17,60.46,71.4,79.89,85.0,105.44,101.64,99.7,90.19,68.28,57.53,49.44
Cyprus,NICOSIA,25,2013,76.72,57.25,94.07,51.87,76.01,103.95,75.87,47.85,59.02,61.59,80.33,86.24,104.75,105.62,101.51,85.61,81.08,57.73,45.27
Czech Republic,PRAHA-KLEMENTINUM,27,2010,,19.26,,12.52,42.24,,30.82,9.95,16.01,38.74,62.53,26.1,67.08,,44.38,41.42,36.21,14.67,8.33
Czech Republic,PRAHA-KLEMENTINUM,27,2011,41.95,24.51,58.37,15.56,60.6,53.38,35.87,11.02,28.6,48.33,59.25,74.17,63.06,43.74,53.66,56.5,32.96,18.25,13.47
Czech Republic,PRAHA-KLEMENTINUM,27,2012,39.76,28.02,55.23,21.7,56.46,53.65,27.01,21.48,30.75,51.1,50.42,67.66,48.75,50.48,61.56,52.03,20.89,8.33,13.15
Czech Republic,PRAHA-KLEMENTINUM,27,2013,32.78,14.09,48.0,7.94,32.77,61.96,26.6,4.17,6.34,30.75,35.39,32.26,50.92,73.36,61.24,34.06,35.78,9.67,16.88
Czech Republic,PRAHA-KLEMENTINUM,27,2014,34.45,24.84,48.46,19.4,44.82,54.13,22.42,11.75,30.65,44.35,44.97,45.13,62.19,60.08,40.38,38.0,21.61,7.67,6.75
Czech Republic,PRAHA-KLEMENTINUM,27,2015,38.69,18.38,54.1,12.52,48.25,59.96,29.42,7.26,24.73,42.53,55.0,47.45,50.25,63.82,65.51,42.08,23.87,22.5,18.39
Czech Republic,PRAHA-KLEMENTINUM,27,2016,,20.0,,16.58,,54.44,32.42,12.93,18.53,23.79,41.06,,49.81,52.74,60.62,62.08,14.84,20.92,13.06
Czech Republic,PRAHA-KLEMENTINUM,27,2017,37.08,21.41,52.08,17.86,44.75,62.1,23.02,18.55,22.41,38.79,33.42,61.67,73.19,51.45,62.02,30.08,24.44,14.5,13.06
Czech Republic,PRAHA-KLEMENTINUM,27,2018,44.15,19.33,65.42,17.16,53.85,66.14,40.48,7.34,32.56,25.19,68.17,68.66,57.06,73.09,67.98,57.11,43.31,20.92,8.12
Czech Republic,PRAHA-KLEMENTINUM,27,2019,,25.71,57.75,18.11,46.41,64.79,,12.58,35.3,34.81,65.92,39.14,85.81,54.73,54.52,47.22,,10.5,16.05
Czech Republic,PRAHA-KLEMENTINUM,27,2020,40.54,,59.06,17.8,57.64,56.53,31.79,18.04,19.43,48.04,75.97,49.49,47.36,63.92,58.01,59.81,21.67,14.22,10.27
Czech Republic,PRAHA-KLEMENTINUM,27,2021,37.66,19.75,50.98,16.12,40.42,56.3,36.68,10.43,28.9,33.71,47.0,40.75,68.36,56.45,44.49,49.19,48.68,11.78,12.12
Czech Republic,PRAHA-KLEMENTINUM,27,2022,43.13,29.62,58.24,18.14,57.63,64.93,31.27,12.61,30.92,61.18,46.08,65.24,69.75,64.54,60.65,42.64,34.52,16.56,11.83
Czech Republic,PRAHA-KLEMENTINUM,27,2023,39.54,21.06,57.31,14.45,43.11,59.31,39.91,10.86,21.34,31.13,33.64,64.25,66.78,60.75,50.65,67.67,35.24,16.97,14.33
Czech Republic,PRAHA-KLEMENTINUM,27,2024,40.27,23.73,57.81,17.15,48.32,61.97,33.39,21.72,15.29,38.09,55.58,51.53,57.47,60.43,67.88,53.72,29.38,17.19,14.09
Czech Republic,PRAHA-KLEMENTINUM,27,2025,41.79,27.36,56.04,21.27,54.28,59.58,31.63,13.6,37.71,52.85,56.56,53.52,69.92,42.96,66.21,47.25,23.49,24.42,13.63
France,BOURGES,32,2010,42.05,25.83,59.42,15.1,51.97,64.11,35.77,12.5,21.07,46.85,66.61,42.93,55.83,75.54,60.7,54.89,45.27,6.83,14.01
France,BOURGES,32,2011,48.03,26.79,66.46,18.84,70.25,59.69,43.3,19.54,23.42,50.73,76.72,83.52,61.06,58.98,59.09,59.33,43.47,27.08,12.02
France,BOURGES,32,2012,44.03,33.48,57.54,24.05,52.58,61.28,36.64,15.19,46.38,57.37,40.94,59.06,53.28,60.38,69.92,61.11,32.8,16.14,15.86
